Date,Open,High,Low,Close,Adj Close,Volume
1/2/85,11.7,11.7,11.7,11.7,11.7,0
1/3/85,11.62,11.62,11.62,11.62,11.62,0
1/4/85,11.67,11.67,11.67,11.67,11.67,0
1/7/85,11.5,11.5,11.5,11.5,11.5,0
1/8/85,11.45,11.45,11.45,11.45,11.45,0
1/9/85,11.47,11.47,11.47,11.47,11.47,0
1/10/85,11.48,11.48,11.48,11.48,11.48,0
1/11/85,11.59,11.59,11.59,11.59,11.59,0
1/14/85,11.6,11.6,11.6,11.6,11.6,0
1/15/85,11.49,11.49,11.49,11.49,11.49,0
1/16/85,11.51,11.51,11.51,11.51,11.51,0
1/17/85,11.48,11.48,11.48,11.48,11.48,0
1/18/85,11.39,11.39,11.39,11.39,11.39,0
1/21/85,null,null,null,null,null,null
1/22/85,11.27,11.27,11.27,11.27,11.27,0
1/23/85,11.21,11.21,11.21,11.21,11.21,0
1/24/85,11.06,11.06,11.06,11.06,11.06,0
1/25/85,11.11,11.11,11.11,11.11,11.11,0
1/28/85,11.11,11.11,11.11,11.11,11.11,0
1/29/85,11.11,11.11,11.11,11.11,11.11,0
1/30/85,11.08,11.08,11.08,11.08,11.08,0
1/31/85,11.17,11.17,11.17,11.17,11.17,0
2/1/85,11.29,11.29,11.29,11.29,11.29,0
2/4/85,11.35,11.35,11.35,11.35,11.35,0
2/5/85,11.3,11.3,11.3,11.3,11.3,0
2/6/85,11.4,11.4,11.4,11.4,11.4,0
2/7/85,11.41,11.41,11.41,11.41,11.41,0
2/8/85,11.37,11.37,11.37,11.37,11.37,0
2/11/85,11.42,11.42,11.42,11.42,11.42,0
2/12/85,null,null,null,null,null,null
2/13/85,11.39,11.39,11.39,11.39,11.39,0
2/14/85,11.29,11.29,11.29,11.29,11.29,0
2/15/85,11.38,11.38,11.38,11.38,11.38,0
2/19/85,11.37,11.37,11.37,11.37,11.37,0
2/20/85,11.52,11.52,11.52,11.52,11.52,0
2/21/85,11.64,11.64,11.64,11.64,11.64,0
2/22/85,11.76,11.76,11.76,11.76,11.76,0
2/25/85,11.75,11.75,11.75,11.75,11.75,0
2/26/85,11.72,11.72,11.72,11.72,11.72,0
2/27/85,11.89,11.89,11.89,11.89,11.89,0
2/28/85,11.91,11.91,11.91,11.91,11.91,0
3/1/85,11.86,11.86,11.86,11.86,11.86,0
3/4/85,11.93,11.93,11.93,11.93,11.93,0
3/5/85,11.86,11.86,11.86,11.86,11.86,0
3/6/85,11.92,11.92,11.92,11.92,11.92,0
3/7/85,11.94,11.94,11.94,11.94,11.94,0
3/8/85,11.71,11.71,11.71,11.71,11.71,0
3/11/85,11.72,11.72,11.72,11.72,11.72,0
3/12/85,11.78,11.78,11.78,11.78,11.78,0
3/13/85,11.9,11.9,11.9,11.9,11.9,0
3/14/85,11.92,11.92,11.92,11.92,11.92,0
3/15/85,11.93,11.93,11.93,11.93,11.93,0
3/18/85,12.02,12.02,12.02,12.02,12.02,0
3/19/85,11.99,11.99,11.99,11.99,11.99,0
3/20/85,11.91,11.91,11.91,11.91,11.91,0
3/21/85,11.82,11.82,11.82,11.82,11.82,0
3/22/85,11.88,11.88,11.88,11.88,11.88,0
3/25/85,11.86,11.86,11.86,11.86,11.86,0
3/26/85,11.77,11.77,11.77,11.77,11.77,0
3/27/85,11.84,11.84,11.84,11.84,11.84,0
3/28/85,11.75,11.75,11.75,11.75,11.75,0
3/29/85,11.65,11.65,11.65,11.65,11.65,0
4/1/85,11.66,11.66,11.66,11.66,11.66,0
4/2/85,11.7,11.7,11.7,11.7,11.7,0
4/3/85,11.73,11.73,11.73,11.73,11.73,0
4/4/85,11.75,11.75,11.75,11.75,11.75,0
4/8/85,11.77,11.77,11.77,11.77,11.77,0
4/9/85,11.66,11.66,11.66,11.66,11.66,0
4/10/85,11.58,11.58,11.58,11.58,11.58,0
4/11/85,11.42,11.42,11.42,11.42,11.42,0
4/12/85,11.43,11.43,11.43,11.43,11.43,0
4/15/85,11.37,11.37,11.37,11.37,11.37,0
4/16/85,11.25,11.25,11.25,11.25,11.25,0
4/17/85,11.29,11.29,11.29,11.29,11.29,0
4/18/85,11.13,11.13,11.13,11.13,11.13,0
4/19/85,11.16,11.16,11.16,11.16,11.16,0
4/22/85,11.13,11.13,11.13,11.13,11.13,0
4/23/85,11.25,11.25,11.25,11.25,11.25,0
4/24/85,11.25,11.25,11.25,11.25,11.25,0
4/25/85,11.37,11.37,11.37,11.37,11.37,0
4/26/85,11.35,11.35,11.35,11.35,11.35,0
4/29/85,11.47,11.47,11.47,11.47,11.47,0
4/30/85,11.41,11.41,11.41,11.41,11.41,0
5/1/85,11.27,11.27,11.27,11.27,11.27,0
5/2/85,11.29,11.29,11.29,11.29,11.29,0
5/3/85,11.21,11.21,11.21,11.21,11.21,0
5/6/85,11.19,11.19,11.19,11.19,11.19,0
5/7/85,11.17,11.17,11.17,11.17,11.17,0
5/8/85,11.26,11.26,11.26,11.26,11.26,0
5/9/85,11.2,11.2,11.2,11.2,11.2,0
5/10/85,11.04,11.04,11.04,11.04,11.04,0
5/13/85,11.04,11.04,11.04,11.04,11.04,0
5/14/85,10.87,10.87,10.87,10.87,10.87,0
5/15/85,10.89,10.89,10.89,10.89,10.89,0
5/16/85,10.81,10.81,10.81,10.81,10.81,0
5/17/85,10.84,10.84,10.84,10.84,10.84,0
5/20/85,10.56,10.56,10.56,10.56,10.56,0
5/21/85,10.6,10.6,10.6,10.6,10.6,0
5/22/85,10.62,10.62,10.62,10.62,10.62,0
5/23/85,10.64,10.64,10.64,10.64,10.64,0
5/24/85,10.57,10.57,10.57,10.57,10.57,0
5/28/85,10.43,10.43,10.43,10.43,10.43,0
5/29/85,10.46,10.46,10.46,10.46,10.46,0
5/30/85,10.39,10.39,10.39,10.39,10.39,0
5/31/85,10.28,10.28,10.28,10.28,10.28,0
6/3/85,10.05,10.05,10.05,10.05,10.05,0
6/4/85,10.05,10.05,10.05,10.05,10.05,0
6/5/85,9.83,9.83,9.83,9.83,9.83,0
6/6/85,9.89,9.89,9.89,9.89,9.89,0
6/7/85,10.19,10.19,10.19,10.19,10.19,0
6/10/85,10.16,10.16,10.16,10.16,10.16,0
6/11/85,10.08,10.08,10.08,10.08,10.08,0
6/12/85,10.16,10.16,10.16,10.16,10.16,0
6/13/85,10.21,10.21,10.21,10.21,10.21,0
6/14/85,9.98,9.98,9.98,9.98,9.98,0
6/17/85,9.97,9.97,9.97,9.97,9.97,0
6/18/85,9.9,9.9,9.9,9.9,9.9,0
6/19/85,10.04,10.04,10.04,10.04,10.04,0
6/20/85,10.14,10.14,10.14,10.14,10.14,0
6/21/85,10.34,10.34,10.34,10.34,10.34,0
6/24/85,10.45,10.45,10.45,10.45,10.45,0
6/25/85,10.5,10.5,10.5,10.5,10.5,0
6/26/85,10.54,10.54,10.54,10.54,10.54,0
6/27/85,10.39,10.39,10.39,10.39,10.39,0
6/28/85,10.25,10.25,10.25,10.25,10.25,0
7/1/85,10.19,10.19,10.19,10.19,10.19,0
7/2/85,10.2,10.2,10.2,10.2,10.2,0
7/3/85,10.23,10.23,10.23,10.23,10.23,0
7/5/85,9.93,9.93,9.93,9.93,9.93,0
7/8/85,10.05,10.05,10.05,10.05,10.05,0
7/9/85,10.05,10.05,10.05,10.05,10.05,0
7/10/85,10.07,10.07,10.07,10.07,10.07,0
7/11/85,10.22,10.22,10.22,10.22,10.22,0
7/12/85,10.23,10.23,10.23,10.23,10.23,0
7/15/85,10.22,10.22,10.22,10.22,10.22,0
7/16/85,10.15,10.15,10.15,10.15,10.15,0
7/17/85,10.12,10.12,10.12,10.12,10.12,0
7/18/85,10.3,10.3,10.3,10.3,10.3,0
7/19/85,10.34,10.34,10.34,10.34,10.34,0
7/22/85,10.46,10.46,10.46,10.46,10.46,0
7/23/85,10.47,10.47,10.47,10.47,10.47,0
