USD LIBOR,Overnight rate
Date,rf
1/2/01,6.65125
1/3/01,6.65375
1/4/01,6.09625
1/5/01,6.01625
1/8/01,6.015
1/9/01,6.01125
1/10/01,6.015
1/11/01,6.0375
1/12/01,6.025
1/15/01,.
1/16/01,6.17625
1/17/01,6.05125
1/18/01,6.02625
1/19/01,5.99625
1/22/01,6
1/23/01,6.0275
1/24/01,6.10125
1/25/01,6.11375
1/26/01,6.10375
1/29/01,6.115
1/30/01,6.10125
1/31/01,6.03875
2/1/01,5.65
2/2/01,5.5925
2/5/01,5.6075
2/6/01,5.615
2/7/01,5.63375
2/8/01,5.585
2/9/01,5.5575
2/12/01,5.57875
2/13/01,5.57375
2/14/01,5.56625
2/15/01,5.64375
2/16/01,5.55
2/19/01,.
2/20/01,5.60875
2/21/01,5.6125
2/22/01,5.6
2/23/01,5.54375
2/26/01,5.57125
2/27/01,5.57625
2/28/01,5.62625
3/1/01,5.5875
3/2/01,5.58375
3/5/01,5.6375
3/6/01,5.65
3/7/01,5.62938
3/8/01,5.57531
3/9/01,5.53641
3/12/01,5.57406
3/13/01,5.57156
3/14/01,5.58656
3/15/01,5.64813
3/16/01,5.54516
3/19/01,5.56906
3/20/01,5.3425
3/21/01,5.13688
3/22/01,5.12813
3/23/01,5.05875
3/26/01,5.08797
3/27/01,5.09281
3/28/01,5.1075
3/29/01,5.19219
3/30/01,5.66813
4/2/01,5.30281
4/3/01,5.2625
4/4/01,5.2275
4/5/01,5.13313
4/6/01,5.08406
4/9/01,5.0875
4/10/01,5.07906
4/11/01,5.08156
4/12/01,5.15063
4/13/01,.
4/16/01,.
4/17/01,5.14875
4/18/01,5.10797
4/19/01,4.57125
4/20/01,4.5175
4/23/01,4.55125
4/24/01,4.48484
4/25/01,4.45219
4/26/01,4.5325
4/27/01,4.59172
4/30/01,4.76875
5/1/01,4.75375
5/2/01,4.63563
5/3/01,4.56875
5/4/01,4.54516
5/7/01,.
5/8/01,4.53891
5/9/01,4.52641
5/10/01,4.5125
5/11/01,4.49125
5/14/01,4.5025
5/15/01,4.36688
5/16/01,4.135
5/17/01,4.0875
5/18/01,4.04516
5/21/01,4.07031
5/22/01,4.06531
5/23/01,4.05781
5/24/01,4.04
5/25/01,3.99813
5/28/01,.
5/29/01,4.11625
5/30/01,4.14953
5/31/01,4.22875
6/1/01,4.13063
6/4/01,4.07531
6/5/01,4.07031
6/6/01,4.04891
6/7/01,4.03891
6/8/01,3.9975
6/11/01,4.055
6/12/01,4.06156
6/13/01,4.08031
6/14/01,4.07625
6/15/01,4.1225
6/18/01,4.055
6/19/01,4.00875
6/20/01,3.96984
6/21/01,3.97859
6/22/01,3.99
6/25/01,4.0225
6/26/01,4.01766
6/27/01,3.83922
6/28/01,3.84922
6/29/01,4.24
7/2/01,4.12313
7/3/01,3.9
7/4/01,.
7/5/01,3.85422
7/6/01,3.77641
7/9/01,3.82031
7/10/01,3.7975
7/11/01,3.80391
7/12/01,3.805
7/13/01,3.76625
7/16/01,3.90203
7/17/01,3.81875
7/18/01,3.78891
7/19/01,3.7775
7/20/01,3.77766
7/23/01,3.81281
7/24/01,3.81406
7/25/01,3.81906
7/26/01,3.82531
7/27/01,3.83031
7/30/01,3.85
7/31/01,3.96625
8/1/01,3.90375
8/2/01,3.8175
8/3/01,3.7625
8/6/01,3.80781
8/7/01,3.8025
8/8/01,3.7975
8/9/01,3.79391
8/10/01,3.7575
8/13/01,3.80781
8/14/01,3.81531
8/15/01,3.89625
8/16/01,3.81406
8/17/01,3.7725
8/20/01,3.75875
8/21/01,3.61625
8/22/01,3.57625
8/23/01,3.585
8/24/01,3.56
8/27/01,.
8/28/01,3.58156
8/29/01,3.5925
8/30/01,3.59422
8/31/01,3.7425
9/3/01,.
9/4/01,3.71609
9/5/01,3.62813
9/6/01,3.59422
9/7/01,3.525
9/10/01,3.55906
9/11/01,3.55906
9/12/01,4.9375
9/13/01,5.36
9/14/01,4.5
9/17/01,3.715
9/18/01,3.06625
9/19/01,1.9475
9/20/01,1.9325
9/21/01,2.35875
9/24/01,2.89375
9/25/01,3.1175
9/26/01,3.275
9/27/01,3.18844
9/28/01,3.56531
10/1/01,3.35
10/2/01,2.75
10/3/01,2.5825
10/4/01,2.55016
10/5/01,2.48875
10/8/01,.
10/9/01,2.56906
10/10/01,2.56281
10/11/01,2.525
10/12/01,2.495
10/15/01,2.57156
10/16/01,2.54375
10/17/01,2.54016
10/18/01,2.54
10/19/01,2.49875
10/22/01,2.5475
10/23/01,2.55
10/24/01,2.54375
10/25/01,2.54625
10/26/01,2.53
10/29/01,2.56406
10/30/01,2.58875
10/31/01,2.705
11/1/01,2.62563
11/2/01,2.5275
11/5/01,2.54141
11/6/01,2.28766
11/7/01,2.08875
11/8/01,2.07906
11/9/01,2.03875
11/12/01,.
11/13/01,2.09422
11/14/01,2.11125
11/15/01,2.15953
11/16/01,2.06156
11/19/01,2.085
11/20/01,2.095
11/21/01,2.11625
11/22/01,.
11/23/01,2.09
11/26/01,2.09422
11/27/01,2.10625
11/28/01,2.11938
11/29/01,2.12438
11/30/01,2.18594
12/3/01,2.15453
12/4/01,2.08125
12/5/01,2.03391
12/6/01,1.995
12/7/01,1.92375
12/10/01,1.925
12/11/01,1.86625
12/12/01,1.82531
12/13/01,1.82531
12/14/01,1.82031
12/17/01,1.92078
12/18/01,1.83125
12/19/01,1.82031
12/20/01,1.79141
12/21/01,1.77
12/24/01,1.79875
12/25/01,.
12/26/01,.
12/27/01,1.96984
12/28/01,1.99125
12/31/01,2.05141
1/1/02,.
1/2/02,1.95734
1/3/02,1.86375
1/4/02,1.78766
1/7/02,1.82031
1/8/02,1.79141
1/9/02,1.76625
1/10/02,1.7725
1/11/02,1.785
1/14/02,1.82281
1/15/02,1.89313
1/16/02,1.78891
1/17/02,1.77141
1/18/02,1.72859
1/21/02,.
1/22/02,1.81031
1/23/02,1.85422
1/24/02,1.84422
1/25/02,1.79766
1/28/02,1.83125
1/29/02,1.86375
1/30/02,1.85297
1/31/02,1.94094
2/1/02,1.87688
2/4/02,1.835
2/5/02,1.82625
